HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00162,5,Q96N66 Q14789 Q86XR7 P49755 Q9Y3Q3 Q9BVK6 Q7Z7H5 Q9Y3B3 Q13445 Q15363 Q9Y3A6 Q9Y5X9 P27105,MBOAT7 GOLGB1 TICAM2 TMED10 TMED3 TMED9 TMED4 TMED7 TMED1 TMED2 TMED5 LIPG STOM
HuMAP2_00163,5,P13073 P51572 O15258,COX4I1 BCAP31 RER1
HuMAP2_00164,4,P15259 P18669 Q8N0Y7,PGAM2 PGAM1 PGAM4
HuMAP2_00165,5,Q9H158 Q9Y5I1 Q9UN75 Q9Y5I0 Q9Y5I2 Q9Y5H7 Q9Y5H8 Q9UN74 Q9UN72 Q9UN73 Q9Y5H9 Q9Y5I3 Q9H3H9 Q9Y5H6 Q9Y5H5 O95822,PCDHAC1 PCDHA11 PCDHA12 PCDHA13 PCDHA10 PCDHA5 PCDHA3 PCDHA4 PCDHA7 PCDHA6 PCDHA2 PCDHA1 TCEAL2 PCDHA8 PCDHA9 MLYCD
HuMAP2_00166,4,Q8IYU8 Q86XE3 Q9BPX6,MICU2 MICU3 MICU1
HuMAP2_00167,3,Q9NR55 P17535,BATF3 JUND
HuMAP2_00168,3,Q9Y478 Q9UGJ0 O43741 P54619 Q13131 P54646,PRKAB1 PRKAG2 PRKAB2 PRKAG1 PRKAA1 PRKAA2
HuMAP2_00169,3,P19784 Q9NW75 Q9ULU4 O75822 Q9NZR4,CSNK2A2 GPATCH2 ZMYND8 EIF3J VSX1
HuMAP2_00170,5,Q9ULJ7 Q5JRX3 Q9UJV9 Q5SYC1 Q9Y263,ANKRD50 PITRM1 DDX41 CLVS2 PLAA
HuMAP2_00171,3,P49662 P51878,CASP4 CASP5
HuMAP2_00172,5,P02538 Q7Z794 Q04695 Q02413 Q08554 P04264 Q5T749 P13647 Q9NZC4 P14923 P15924,KRT6A KRT77 KRT17 DSG1 DSC1 KRT1 KPRP KRT5 EHF JUP DSP
HuMAP2_00173,2,P31153 Q00266 Q9NZL9,MAT2A MAT1A MAT2B
HuMAP2_00174,2,Q9H2H8 Q96I24 P40926,PPIL3 FUBP3 MDH2
HuMAP2_00175,3,Q9BPX1 Q9BY32 P11766,HSD17B14 ITPA ADH5
HuMAP2_00176,3,P17010 P08048,ZFX ZFY
HuMAP2_00177,4,Q9UKK9 Q96C36 P32322 Q53H96,NUDT5 PYCR2 PYCR1 PYCR3
HuMAP2_00178,4,Q96LR2 P30711,LURAP1 GSTT1
HuMAP2_00179,4,Q9P2R7 Q13126,SUCLA2 MTAP
HuMAP2_00180,5,Q8TC76 Q5T0L3 P48730 P49674 Q1L5Z9 Q14C86 Q5T7W0 Q9Y343 Q96L94 O15055,FAM110B SPATA46 CSNK1D CSNK1E LONRF2 GAPVD1 ZNF618 SNX24 SNX22 PER2
HuMAP2_00181,4,Q9NWC5 Q8N5Z5 P43003 O15530 Q14681 Q9NXV2,TMEM45A KCTD17 SLC1A3 PDPK1 KCTD2 KCTD5
HuMAP2_00182,5,Q9NUQ9 Q9H0Q0 Q96RP9 O75874,CYRIB CYRIA GFM1 IDH1
HuMAP2_00183,4,Q8TDP1 Q5TBB1 O75792 Q8N1G2 Q86TU7,RNASEH2C RNASEH2B RNASEH2A CMTR1 SETD3
HuMAP2_00184,2,Q9H3K2 Q69YU5,GHITM UQCC6
HuMAP2_00185,5,O94788 Q96DB5 Q9BYX4 O95297 P05091 Q99538 P01861,ALDH1A2 RMDN1 IFIH1 MPZL1 ALDH2 LGMN IGHG4
HuMAP2_00186,4,O75146 O00291,HIP1R HIP1
HuMAP2_00187,3,Q5T8P6 Q15020 O43172 P55769 O43395 Q9H6E5,RBM26 SART3 PRPF4 SNU13 PRPF3 TUT1
HuMAP2_00188,3,P25208 P23511 Q13952,NFYB NFYA NFYC
HuMAP2_00189,4,Q8TBE7 P28335 A8MZ36,SLC35G2 HTR2C EVPLL
HuMAP2_00190,4,P35247 Q04837,SFTPD SSBP1
HuMAP2_00191,3,Q7L590 Q9BTE3 P33993 P25205 P33991 P49736 P33992 Q14566,MCM10 MCMBP MCM7 MCM3 MCM4 MCM2 MCM5 MCM6
HuMAP2_00192,4,Q96F46 Q8N6T7 Q06210 O94808 P04150,IL17RA SIRT6 GFPT1 GFPT2 NR3C1
HuMAP2_00193,2,Q9HAU8 Q9UBT3,RNPEPL1 DKK4
HuMAP2_00194,5,Q14153 Q5JPE7 O43169 Q9BS26 P31267 P17509 Q96DU7 Q8IX07 Q15155 A1L020 O00255 Q92626 Q5HY92,FAM53B NOMO2 CYB5B ERP44 HOXA6 HOXB6 ITPKC ZFPM1 NOMO1 MEX3A MEN1 PXDN FIGN
HuMAP2_00195,5,Q9BQ69 Q15814 Q14244 P02100,MACROD1 TBCC MAP7 HBE1
HuMAP2_00196,4,P0DN76 Q8WU68 Q99590,SPECIALin_UniProt_but_no_gene U2AF1L4 SCAF11
HuMAP2_00197,2,Q16637 P08621 P57678 O14893 Q9UHI6 P09234,SMN1;SMN2 SNRNP70 GEMIN4 GEMIN2 DDX20 SNRPC
HuMAP2_00198,4,Q9UBP6 P50579 Q8ND56 Q6V1X1 P57081,METTL1 METAP2 LSM14A DPP8 WDR4
HuMAP2_00199,4,O95433 Q14376 P46108,AHSA1 GALE CRK
HuMAP2_00200,4,Q8WYA6 Q9NQX6 O60684,CTNNBL1 ZNF331 KPNA6
HuMAP2_00201,4,Q6PID8 Q13422 Q9UKS7,KLHDC10 IKZF1 IKZF2
HuMAP2_00202,2,Q9Y2T4 Q5VY09,PPP2R2C IER5
HuMAP2_00203,4,Q9UMX0 P61970 P00374,UBQLN1 NUTF2 DHFR
HuMAP2_00204,5,P31994 P12318 P31995 P27695 P55157,FCGR2B FCGR2A FCGR2C APEX1 MTTP
HuMAP2_00205,4,O43502 O43542,RAD51C XRCC3
HuMAP2_00206,4,Q8TB22 Q9HCJ3,SPATA20 RAVER2
HuMAP2_00207,5,Q13296 Q99985 Q92854 P52849 O75462 O95672 Q7LGC8 Q969Y0 P19320 O15228 P35475,SCGB2A2 SEMA3C SEMA4D NDST2 CRLF1 ECEL1 CHST3 NXPE3 VCAM1 GNPAT IDUA
HuMAP2_00208,5,Q6DCA0 P53609 Q9NQ87,AMMECR1L PGGT1B HEYL
HuMAP2_00209,5,Q8N264 Q9NSA3 Q9Y2Q3 Q8IUH3 O94907 O75554 O00142,ARHGAP24 CTNNBIP1 GSTK1 RBM45 DKK1 WBP4 TK2
HuMAP2_00210,3,Q13228 Q9Y4U1,SELENBP1 MMACHC
HuMAP2_00211,5,Q9Y5G4 Q9Y5G6 Q9Y5G8 Q3KR16 Q9Y5G5 O95822,PCDHGA9 PCDHGA7 PCDHGA5 PLEKHG6 PCDHGA8 MLYCD
HuMAP2_00212,2,Q7L273 A6NED2 Q8N371,KCTD9 RCCD1 KDM8
HuMAP2_00213,4,Q147U7 O60271 Q8N565,SMCO1 SPAG9 MREG
HuMAP2_00214,4,Q9BXY0 Q9H9Y2,MAK16 RPF1
HuMAP2_00215,3,P05141 P08708 P47914 P27635 Q13685,SLC25A5 RPS17 RPL29 RPL10 AAMP
HuMAP2_00216,4,P63165 O00505 O00629 P18754,SUMO1 KPNA3 KPNA4 RCC1
HuMAP2_00217,5,O75326 Q9UBY5 P35610,SEMA7A LPAR3 SOAT1
HuMAP2_00218,2,P25705 P06576 P36542 P30049 P56385 P18859 O75964 P48047 O75947 P24539,ATP5F1A ATP5F1B ATP5F1C ATP5F1D ATP5ME ATP5PF ATP5MG ATP5PO ATP5PD ATP5PB
